DATE,REGION,GRADE
23,Xorazm Region,Grade 9
23,Tashkent region,Grade 10
23,Xorazm Region,Grade 10
23,Tashkent region,Grade 11
23,Fergana region,Grade 11
23,Surxondaryo Region,Grade 9
23,Xorazm Region,Grade 11
23,Andijan region,Grade 10
23,Jizzakh Region,Grade 11
23,Bukhara region,Grade 11
23,Andijan region,Grade 9
23,Sirdaryo Region,Grade 11
23,Navoiy region,Grade 9
23,Andijan region,Grade 10
23,Tashkent city,Grade 11
23,Samarkand region,Grade 10
23,Samarkand region,Grade 11
23,Jizzakh Region,Grade 9
23,Andijan region,Grade 10
23,Karakalpakstan republic,Grade 9
23,Tashkent region,Grade 11
23,Andijan region,Grade 9
23,Sirdaryo Region,Grade 11
23,Tashkent region,Grade 10
23,Karakalpakstan republic,Grade 9
23,Surxondaryo Region,Grade 11
23,Tashkent region,Grade 10
23,Bukhara region,Grade 10
23,Surxondaryo Region,Grade 9
23,Sirdaryo Region,Grade 10
23,Navoiy region,Grade 10
23,Andijan region,Grade 11
23,Xorazm Region,Grade 11
23,Fergana region,Grade 10
23,Xorazm Region,Grade 10
23,Andijan region,Grade 11
23,Jizzakh Region,Grade 11
23,Bukhara region,Grade 11
23,Xorazm Region,Grade 10
23,Xorazm Region,Grade 10
23,Andijan region,Grade 11
23,Xorazm Region,Grade 10
23,Surxondaryo Region,Grade 10
23,Tashkent city,Grade 10
23,Bukhara region,Grade 11
23,Andijan region,Grade 9
23,Tashkent city,Grade 11
23,Surxondaryo Region,Grade 11
23,Fergana region,Grade 9
23,Andijan region,Grade 11
23,Surxondaryo Region,Grade 11
23,Fergana region,Grade 10
23,Andijan region,Grade 9
23,Tashkent city,Grade 11
23,Tashkent region,Grade 10
23,Andijan region,Grade 9
23,Xorazm Region,Grade 10
23,Fergana region,Grade 10
23,Surxondaryo Region,Grade 11
23,Andijan region,Grade 10
23,Fergana region,Grade 11
23,Tashkent region,Grade 11
23,Namangan Region,Grade 11
23,Andijan region,Grade 11
23,Tashkent city,Grade 9
23,Tashkent region,Grade 9
23,Xorazm Region,Grade 9
23,Navoiy region,Grade 10
23,Tashkent city,Grade 11
23,Jizzakh Region,Grade 10
23,Surxondaryo Region,Grade 9
23,Karakalpakstan republic,Grade 9
23,Tashkent city,Grade 11
23,Namangan Region,Grade 11
24,Tashkent region,Grade 11
24,Xorazm Region,Grade 10
24,Andijan region,Grade 11
24,Namangan Region,Grade 10
24,Fergana region,Grade 11
24,Sirdaryo Region,Grade 11
24,Tashkent region,Grade 10
24,Fergana region,Grade 11
24,Tashkent city,Grade 11
24,Karakalpakstan republic,Grade 11
24,Tashkent region,Grade 9
24,Jizzakh Region,Grade 11
24,Tashkent region,Grade 11
24,Navoiy region,Grade 10
24,Navoiy region,Grade 10
24,Surxondaryo Region,Grade 9
24,Andijan region,Grade 11
24,Navoiy region,Grade 9
24,Navoiy region,Grade 11
24,Samarkand region,Grade 10
24,Xorazm Region,Grade 10
24,Navoiy region,Grade 10
24,Tashkent region,Grade 10
24,Namangan Region,Grade 10
24,Fergana region,Grade 9
24,Jizzakh Region,Grade 10
24,Xorazm Region,Grade 10
24,Sirdaryo Region,Grade 11
24,Sirdaryo Region,Grade 10
24,Qashqadaryo Region,Grade 9
24,Tashkent city,Grade 9
24,Qashqadaryo Region,Grade 9
24,Tashkent region,Grade 9
24,Navoiy region,Grade 9
24,Surxondaryo Region,Grade 10
24,Bukhara region,Grade 10
24,Sirdaryo Region,Grade 10
24,Navoiy region,Grade 10
24,Qashqadaryo Region,Grade 10
24,Qashqadaryo Region,Grade 10
24,Sirdaryo Region,Grade 9
24,Navoiy region,Grade 11
